Region,Business,Name,Status,RiskCategory,RiskSubCategory,DiscoveryDate,OccurrenceStartDate,NetLoss,RecoveryAmount,EstimatedGrossLoss
North America,Retail Brokerage,LE_06_26,Not Started,Internal Fraud,Unauthorized Activity,2007-03-07,2007-03-08,279196,89343,293300
North America,Retail Banking,LE_06_27,In Progress,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-03-07,2007-03-08,95360,28608,109100
North America,Retail Banking,LE_06_28,Under Review,External Fraud,Systems Security,2007-03-08,2007-03-09,35697,8924,38600
EMEA,Retail Banking,LE_06_29,Not Started,External Fraud,Theft and Fraud,2007-03-12,2007-03-14,198847,75562,203000
North America,Agency Services,LE_06_30,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2007-03-13,2007-03-14,161418,43583,174500
North America,Retail Banking,LE_06_31,Not Started,External Fraud,Theft and Fraud,2007-03-13,2007-03-16,143265,42979,155000
EMEA,Retail Banking,LE_06_32,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-03-14,2007-03-17,257581,74699,264300
North America,Retail Banking,LE_06_33,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2007-03-17,2007-03-18,55069,17622,64100
EMEA,Retail Banking,LE_06_34,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-03-18,2007-03-21,213926,70596,217100
North America,Retail Banking,LE_06_35,Rejected,External Fraud,Theft and Fraud,2007-03-21,2007-03-23,108794,38078,116800
EMEA,Retail Banking,LE_06_36,In Progress,Internal Fraud,Theft and Fraud,2007-03-24,2007-03-27,177847,48019,177400
North America,Trading and Sales,LE_06_37,Under Review,Business Disruption and System Failures,Infrastructure and Systems,2007-03-27,2007-03-30,831009,182822,830700
EMEA,Retail Banking,LE_06_38,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-03-30,2007-04-02,1135,386,17200
EMEA,Agency Services,LE_06_39,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-03-31,2007-04-03,272963,73700,279600
North America,Trading and Sales,LE_06_40,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-04-15,2007-04-18,2167,520,3300
EMEA,Trading and Sales,LE_06_41,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2007-04-16,2007-04-17,513816,200388,515400
Asia Pac,Retail Banking,LE_06_42,Rejected,External Fraud,Systems Security,2007-04-23,2007-04-24,161361,32272,172900
EMEA,Retail Banking,LE_06_43,Not Started,"Execution, Delivery and Process Management",Vendors and Suppliers,2007-04-26,2007-04-27,179916,28786,173100
EMEA,Retail Banking,LE_06_44,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2007-04-29,2007-04-30,147547,47215,152900
EMEA,Retail Banking,LE_06_45,In Progress,Employment Practices and Workplace Safety,Diversity and Discrimination,2007-04-29,2007-05-01,262531,99762,265900
EMEA,Commercial Banking,LE_06_46,Under Review,"Clients, Products and Business Practices",Improper Business or Market Practices,2007-05-05,2007-05-08,64896,14926,76600
North America,Retail Banking,LE_06_47,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-05-07,2007-05-10,148454,53444,153700
Asia Pac,Retail Banking,LE_06_48,Approved,"Execution, Delivery and Process Management",Transaction/Data Management,2007-05-08,2007-05-09,135956,31270,136600
Asia Pac,Retail Banking,LE_06_49,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2007-05-10,2007-05-11,225087,47268,232200
North America,Retail Brokerage,LE_06_50,Under Review,Employment Practices and Workplace Safety,Employee Relations,2007-05-11,2007-05-14,296738,68250,307300
North America,Retail Banking,LE_06_51,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-05-17,2007-05-19,126149,40368,119100
EMEA,Retail Banking,LE_06_52,Not Started,External Fraud,Theft and Fraud,2007-05-18,2007-05-21,68519,27408,78700
North America,Retail Banking,LE_06_53,Not Started,External Fraud,Theft and Fraud,2007-05-18,2007-05-21,70640,17660,72800
North America,Retail Banking,LE_06_54,Not Started,External Fraud,Theft and Fraud,2007-05-20,2007-05-23,65957,19127,62200
North America,Commercial Banking,LE_06_55,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2007-05-21,2007-05-22,13081,4186,20700
North America,Retail Banking,LE_06_56,Under Review,External Fraud,Systems Security,2007-05-27,2007-05-28,144115,36029,157600
North America,Trading and Sales,LE_06_57,Rejected,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-05-27,2007-05-29,721806,187670,731200
North America,Retail Banking,LE_06_58,In Progress,External Fraud,Theft and Fraud,2007-05-30,2007-06-01,3651,1059,3600
North America,Retail Banking,LE_06_59,Under Review,Business Disruption and System Failures,Infrastructure and Systems,2007-06-03,2007-06-04,116809,36211,110000
North America,Retail Banking,LE_06_60,Approved,External Fraud,Theft and Fraud,2007-06-07,2007-06-09,13828,3872,10900
EMEA,Retail Banking,LE_06_61,Not Started,Employment Practices and Workplace Safety,Safe Environment,2007-06-11,2007-06-14,231201,87856,236600
EMEA,Retail Banking,LE_06_62,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-06-16,2007-06-19,73153,27798,82600
North America,Retail Banking,LE_06_63,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-06-18,2007-06-20,25432,6104,25200
North America,Retail Banking,LE_06_64,Approved,External Fraud,Theft and Fraud,2007-06-24,2007-06-26,29701,6534,28600
Asia Pac,Commercial Banking,LE_06_65,Not Started,External Fraud,Systems Security,2007-06-25,2007-06-27,897808,287298,889900
Asia Pac,Retail Brokerage,LE_06_66,Not Started,"Clients, Products and Business Practices",Product Flaws,2007-06-27,2007-06-30,72860,27687,80100
North America,Commercial Banking,LE_06_67,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2007-06-28,2007-07-01,720680,281065,711700
North America,Retail Banking,LE_06_68,Not Started,External Fraud,Theft and Fraud,2007-06-29,2007-07-02,91614,21071,94600
EMEA,Agency Services,LE_06_69,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-06-30,2007-07-01,237812,64209,233200
Asia Pac,Corporate Finance,LE_06_70,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2007-07-01,2007-07-02,11687859,1986936,11698000
Asia Pac,Retail Banking,LE_06_71,In Progress,Internal Fraud,Theft and Fraud,2007-07-04,2007-07-05,75648,17399,70700
EMEA,Retail Banking,LE_06_72,Approved,External Fraud,Theft and Fraud,2007-07-11,2007-07-14,178016,46284,195400
Asia Pac,Retail Banking,LE_06_73,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2007-07-12,2007-07-15,217533,50033,214800
EMEA,Retail Banking,LE_06_74,Under Review,Internal Fraud,Unauthorized Activity,2007-07-12,2007-07-13,164368,49310,171900
EMEA,Retail Banking,LE_06_75,Not Started,External Fraud,Theft and Fraud,2007-07-13,2007-07-15,3986,1036,2200
North America,Retail Banking,LE_06_76,Under Review,External Fraud,Systems Security,2007-07-15,2007-07-18,203647,63131,211400
North America,Retail Banking,LE_06_77,Not Started,"Execution, Delivery and Process Management",Transaction/Data Management,2007-07-18,2007-07-21,10894,3159,17900
Asia Pac,Retail Banking,LE_06_78,Rejected,External Fraud,Theft and Fraud,2007-07-22,2007-07-25,11651,3495,26600
North America,Retail Banking,LE_06_79,Rejected,External Fraud,Theft and Fraud,2007-07-26,2007-07-27,158301,49073,150900
EMEA,Retail Banking,LE_06_80,In Progress,Employment Practices and Workplace Safety,Safe Environment,2007-07-27,2007-07-28,200040,74015,202900
EMEA,Retail Banking,LE_06_81,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-07-27,2007-07-29,78579,18073,78500
Asia Pac,Trading and Sales,LE_06_82,Not Started,Employment Practices and Workplace Safety,Diversity and Discrimination,2007-08-10,2007-08-13,603681,156957,603200
EMEA,Retail Banking,LE_06_83,Approved,External Fraud,Theft and Fraud,2007-08-10,2007-08-11,203359,71176,210100
EMEA,Retail Banking,LE_06_84,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2007-08-26,2007-08-27,163233,34279,165100
EMEA,Retail Brokerage,LE_06_85,Under Review,External Fraud,Systems Security,2007-09-03,2007-09-06,98438,19688,102000
North America,Retail Banking,LE_06_86,Not Started,"Clients, Products and Business Practices",Advisory Activities,2007-09-04,2007-09-07,266501,79950,270000
Asia Pac,Retail Banking,LE_06_87,Rejected,External Fraud,Theft and Fraud,2007-09-05,2007-09-06,271498,70589,269600
EMEA,Retail Banking,LE_06_88,Not Started,External Fraud,Theft and Fraud,2007-09-05,2007-09-08,213730,59844,209200
EMEA,Retail Banking,LE_06_89,In Progress,External Fraud,Theft and Fraud,2007-09-08,2007-09-11,259392,70036,259100
North America,Commercial Banking,LE_06_90,Approved,External Fraud,Systems Security,2007-09-15,2007-09-18,373423,78419,384600
North America,Agency Services,LE_06_91,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-09-16,2007-09-17,285401,105598,295400
North America,Retail Banking,LE_06_92,In Progress,External Fraud,Theft and Fraud,2007-09-19,2007-09-22,56108,17955,58800
North America,Retail Banking,LE_06_93,Not Started,External Fraud,Theft and Fraud,2007-09-20,2007-09-21,244943,83281,256400
North America,Retail Banking,LE_06_94,Under Review,External Fraud,Theft and Fraud,2007-09-25,2007-09-28,90964,24560,106300
EMEA,Retail Banking,LE_06_95,Approved,Internal Fraud,Theft and Fraud,2007-09-27,2007-09-29,82757,24827,97900
EMEA,Commercial Banking,LE_06_96,Not Started,External Fraud,Systems Security,2007-10-04,2007-10-06,243102,58344,243100
EMEA,Retail Banking,LE_06_97,Not Started,External Fraud,Theft and Fraud,2007-10-04,2007-10-07,21095,7383,27400
North America,Retail Banking,LE_06_98,Under Review,External Fraud,Theft and Fraud,2007-10-06,2007-10-08,67346,15489,78900
North America,Retail Brokerage,LE_06_99,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2007-10-10,2007-10-13,122853,40541,119700
North America,Trading and Sales,LE_06_100,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-10-12,2007-10-15,394592,153891,386200
Asia Pac,Retail Banking,LE_06_101,Rejected,External Fraud,Theft and Fraud,2007-10-15,2007-10-18,99838,26956,101900
EMEA,Retail Banking,LE_06_102,In Progress,External Fraud,Systems Security,2007-10-19,2007-10-20,226976,88521,223900
North America,Retail Brokerage,LE_06_103,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-10-26,2007-10-27,252185,52959,255100
EMEA,Retail Banking,LE_06_104,Approved,External Fraud,Theft and Fraud,2007-10-27,2007-10-29,109902,29674,108100
North America,Retail Banking,LE_06_105,Not Started,External Fraud,Theft and Fraud,2007-10-28,2007-10-31,170794,52946,177000
EMEA,Retail Banking,LE_06_106,In Progress,External Fraud,Theft and Fraud,2007-10-31,2007-11-02,18734,6182,36600
EMEA,Trading and Sales,LE_06_107,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-11-01,2007-11-02,135081,47278,141100
North America,Retail Banking,LE_06_108,Approved,External Fraud,Systems Security,2007-11-06,2007-11-08,162311,38955,156900
EMEA,Trading and Sales,LE_06_109,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2007-11-08,2007-11-11,918661,358278,929900
Asia Pac,Retail Banking,LE_06_110,Rejected,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-11-11,2007-11-12,84871,28856,103200
EMEA,Trading and Sales,LE_06_111,Under Review,"Execution, Delivery and Process Management",Vendors and Suppliers,2007-11-15,2007-11-17,952744,304878,952800
North America,Retail Banking,LE_06_112,In Progress,Employment Practices and Workplace Safety,Employee Relations,2007-11-15,2007-11-16,18953,4928,27600
North America,Trading and Sales,LE_06_113,Approved,"Execution, Delivery and Process Management",Customer/Client Account Management,2007-11-16,2007-11-19,158331,61749,163400
North America,Retail Banking,LE_06_114,Not Started,External Fraud,Theft and Fraud,2007-11-19,2007-11-22,175055,61269,175700
EMEA,Retail Banking,LE_06_115,Under Review,External Fraud,Theft and Fraud,2007-11-29,2007-11-30,132154,26431,145900
North America,Corporate Finance,LE_06_116,In Progress,"Execution, Delivery and Process Management",Transaction/Data Management,2007-11-29,2007-11-30,10765087,3444828,10783000
Asia Pac,Retail Banking,LE_06_117,Rejected,External Fraud,Systems Security,2007-12-03,2007-12-06,52985,11657,64100
EMEA,Retail Banking,LE_06_118,Approved,External Fraud,Theft and Fraud,2007-12-03,2007-12-04,179902,57569,181800
EMEA,Retail Banking,LE_06_119,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2007-12-03,2007-12-06,177173,40750,174000
Asia Pac,Retail Banking,LE_06_120,Under Review,External Fraud,Theft and Fraud,2007-12-06,2007-12-08,86495,19894,83300
North America,Asset Management,LE_06_121,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2007-12-14,2007-12-15,567885,147650,569500
North America,Retail Banking,LE_06_122,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-12-18,2007-12-21,30897,10814,41700
Asia Pac,Retail Banking,LE_06_123,Rejected,External Fraud,Theft and Fraud,2007-12-23,2007-12-26,118582,33203,133300
North America,Retail Banking,LE_06_124,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2007-12-24,2007-12-26,50738,18773,48900
EMEA,Agency Services,LE_06_125,In Progress,"Execution, Delivery and Process Management",Trade Counterparties,2007-12-25,2007-12-26,745078,253327,759000
North America,Retail Banking,LE_06_126,Approved,Internal Fraud,Unauthorized Activity,2007-12-28,2007-12-30,190331,51389,194300
North America,Retail Banking,LE_06_127,Not Started,"Clients, Products and Business Practices",Product Flaws,2008-01-04,2008-01-05,125241,48844,120900
North America,Retail Banking,LE_06_128,In Progress,Employment Practices and Workplace Safety,Safe Environment,2008-01-05,2008-01-06,203647,73313,201000
North America,Retail Banking,LE_06_129,Under Review,External Fraud,Theft and Fraud,2008-01-07,2008-01-10,68045,26538,85700
Asia Pac,Trading and Sales,LE_06_130,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-01-08,2008-01-11,846942,203266,854800
Asia Pac,Retail Brokerage,LE_06_131,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2008-01-08,2008-01-11,123392,44421,127500
North America,Retail Banking,LE_06_132,Not Started,External Fraud,Systems Security,2008-01-14,2008-01-17,243129,63214,241800
Asia Pac,Retail Brokerage,LE_06_133,Approved,Employment Practices and Workplace Safety,Diversity and Discrimination,2008-01-20,2008-01-23,14146,3961,22100
North America,Retail Banking,LE_06_134,In Progress,External Fraud,Theft and Fraud,2008-01-20,2008-01-22,182053,61898,191500
Asia Pac,Retail Banking,LE_06_135,Under Review,"Execution, Delivery and Process Management",Trade Counterparties,2008-01-22,2008-01-23,13702,4659,18900
North America,Retail Banking,LE_06_136,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-01-22,2008-01-24,25835,9817,26500
Asia Pac,Retail Banking,LE_06_137,Rejected,External Fraud,Theft and Fraud,2008-01-23,2008-01-24,217862,61001,224800
North America,Retail Banking,LE_06_138,Under Review,External Fraud,Theft and Fraud,2008-01-23,2008-01-25,218231,85110,225100
North America,Trading and Sales,LE_06_139,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2008-01-23,2008-01-25,477408,100256,481200
Asia Pac,Commercial Banking,LE_06_140,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2008-01-28,2008-01-29,391761,148869,402200
EMEA,Retail Banking,LE_06_141,Not Started,External Fraud,Systems Security,2008-01-31,2008-02-01,173394,62422,175800
North America,Commercial Banking,LE_06_142,Under Review,External Fraud,Theft and Fraud,2008-01-31,2008-02-03,334465,110374,344700
Asia Pac,Retail Banking,LE_06_143,Rejected,External Fraud,Theft and Fraud,2008-02-01,2008-02-04,278541,89133,275300
EMEA,Retail Banking,LE_06_144,Under Review,External Fraud,Theft and Fraud,2008-02-04,2008-02-05,50898,17814,65600
North America,Commercial Banking,LE_06_145,Rejected,"Execution, Delivery and Process Management",Transaction/Data Management,2008-02-10,2008-02-11,623802,199617,626900
Asia Pac,Retail Banking,LE_06_146,Under Review,External Fraud,Systems Security,2008-02-12,2008-02-15,125226,26297,130100
North America,Trading and Sales,LE_06_147,In Progress,"Execution, Delivery and Process Management",Customer Intake and Documentation,2008-02-12,2008-02-14,306695,104276,314500
EMEA,Retail Banking,LE_06_148,Approved,Employment Practices and Workplace Safety,Employee Relations,2008-02-14,2008-02-16,19785,7320,28300
Asia Pac,Trading and Sales,LE_06_149,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2008-02-18,2008-02-20,1000494,300148,1008300
Asia Pac,Trading and Sales,LE_06_150,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-02-21,2008-02-23,555901,200124,555700
North America,Retail Banking,LE_06_151,In Progress,External Fraud,Theft and Fraud,2008-02-21,2008-02-22,155297,54354,165900
EMEA,Retail Banking,LE_06_152,Approved,"Execution, Delivery and Process Management",Trade Counterparties,2008-02-22,2008-02-25,110272,36390,120300
North America,Retail Banking,LE_06_153,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-02-24,2008-02-26,172338,51701,172300
EMEA,Commercial Banking,LE_06_154,Not Started,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-02-27,2008-03-01,801238,248384,798100
EMEA,Retail Banking,LE_06_155,In Progress,"Clients, Products and Business Practices",Advisory Activities,2008-02-28,2008-03-01,92672,21315,99500
North America,Retail Banking,LE_06_156,Under Review,Internal Fraud,Theft and Fraud,2008-03-01,2008-03-02,33963,7472,31800
North America,Retail Banking,LE_06_157,Approved,External Fraud,Theft and Fraud,2008-03-09,2008-03-10,13895,5558,23700
North America,Retail Banking,LE_06_158,Not Started,Internal Fraud,Unauthorized Activity,2008-03-10,2008-03-11,172562,48317,182200
North America,Retail Banking,LE_06_159,In Progress,"Execution, Delivery and Process Management",Customer Intake and Documentation,2008-03-12,2008-03-13,71628,15042,82400
North America,Retail Banking,LE_06_160,Under Review,External Fraud,Theft and Fraud,2008-03-19,2008-03-22,2036,407,1800
EMEA,Retail Banking,LE_06_161,Approved,External Fraud,Systems Security,2008-03-27,2008-03-28,30238,10886,45200
North America,Retail Brokerage,LE_06_162,Not Started,"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",2008-03-28,2008-03-29,289407,98398,282000
North America,Retail Banking,LE_06_163,Not Started,Employment Practices and Workplace Safety,Safe Environment,2008-03-30,2008-03-31,149301,46283,158600
North America,Retail Banking,LE_06_164,Under Review,Employment Practices and Workplace Safety,Safe Environment,2008-03-31,2008-04-03,110367,32006,118100
North America,Commercial Banking,LE_06_165,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2008-04-01,2008-04-03,568759,164940,565600
EMEA,Trading and Sales,LE_06_166,Under Review,Employment Practices and Workplace Safety,Diversity and Discrimination,2008-04-03,2008-04-05,361968,123069,361100
North America,Retail Banking,LE_06_167,Rejected,Internal Fraud,Theft and Fraud,2008-04-04,2008-04-07,41146,15224,44700
EMEA,Retail Brokerage,LE_06_168,In Progress,"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",2008-04-07,2008-04-08,452728,167509,459800
Asia Pac,Retail Banking,LE_06_169,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-04-08,2008-04-11,945,227,-3100
Asia Pac,Retail Banking,LE_06_170,Not Started,External Fraud,Theft and Fraud,2008-04-09,2008-04-12,12938,3493,23400
North America,Retail Banking,LE_06_171,Approved,"Clients, Products and Business Practices",Improper Business or Market Practices,2008-04-09,2008-04-11,50106,15533,53300
Asia Pac,Retail Banking,LE_06_172,Under Review,External Fraud,Theft and Fraud,2008-04-14,2008-04-15,178691,53607,185500
EMEA,Retail Banking,LE_06_173,In Progress,External Fraud,Theft and Fraud,2008-04-14,2008-04-15,210267,69388,207300
North America,Corporate Finance,LE_06_174,Approved,"Clients, Products and Business Practices",Product Flaws,2008-04-17,2008-04-19,8794622,1758924,8812600
Asia Pac,Retail Banking,LE_06_175,Rejected,External Fraud,Systems Security,2008-04-19,2008-04-22,32686,10133,45100
North America,Retail Banking,LE_06_176,Not Started,Employment Practices and Workplace Safety,Employee Relations,2008-04-19,2008-04-22,6725,1950,18500
North America,Retail Banking,LE_06_177,In Progress,External Fraud,Theft and Fraud,2008-04-21,2008-04-24,177517,39054,170900
North America,Asset Management,LE_06_178,Under Review,"Execution, Delivery and Process Management",Vendors and Suppliers,2008-04-29,2008-05-02,114957,36786,112500
EMEA,Retail Banking,LE_06_179,Approved,External Fraud,Theft and Fraud,2008-05-02,2008-05-04,34288,7201,47800
EMEA,Trading and Sales,LE_06_180,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2008-05-05,2008-05-08,108387,39019,122700
Asia Pac,Asset Management,LE_06_181,In Progress,"Execution, Delivery and Process Management",Transaction/Data Management,2008-05-09,2008-05-11,795653,198913,796200
EMEA,Retail Banking,LE_06_182,Under Review,"Execution, Delivery and Process Management",Customer Intake and Documentation,2008-05-17,2008-05-19,35013,8753,45500
North America,Retail Banking,LE_06_183,Approved,External Fraud,Theft and Fraud,2008-05-20,2008-05-21,211757,61410,227900
North America,Commercial Banking,LE_06_184,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2008-05-22,2008-05-23,600558,168156,592200
North America,Retail Banking,LE_06_185,Not Started,External Fraud,Systems Security,2008-05-22,2008-05-25,86957,18261,96500
Asia Pac,Commercial Banking,LE_06_186,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-05-25,2008-05-26,555601,211128,566500
EMEA,Commercial Banking,LE_06_187,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2008-05-29,2008-05-30,287445,74736,291100
North America,Retail Banking,LE_06_188,Under Review,External Fraud,Theft and Fraud,2008-05-29,2008-05-31,65064,22122,71800
EMEA,Retail Banking,LE_06_189,Rejected,External Fraud,Theft and Fraud,2008-05-31,2008-06-03,225099,54024,230300
EMEA,Retail Banking,LE_06_190,In Progress,External Fraud,Theft and Fraud,2008-06-04,2008-06-07,123890,30972,132900
North America,Retail Banking,LE_06_191,Under Review,"Clients, Products and Business Practices",Advisory Activities,2008-06-04,2008-06-07,168838,57405,174500
EMEA,Agency Services,LE_06_192,Approved,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-06-10,2008-06-13,685482,205645,690800
North America,Retail Banking,LE_06_193,Not Started,Employment Practices and Workplace Safety,Safe Environment,2008-06-11,2008-06-14,202826,77074,209200
North America,Retail Banking,LE_06_194,Under Review,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-06-16,2008-06-19,227467,56867,235000
Asia Pac,Trading and Sales,LE_06_195,In Progress,Business Disruption and System Failures,Infrastructure and Systems,2008-06-18,2008-06-19,525675,162959,543800
EMEA,Trading and Sales,LE_06_196,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2008-06-18,2008-06-21,383987,115196,388900
North America,Retail Banking,LE_06_197,Approved,External Fraud,Systems Security,2008-06-20,2008-06-21,277132,74826,275100
EMEA,Trading and Sales,LE_06_198,Not Started,"Execution, Delivery and Process Management",Trade Counterparties,2008-06-21,2008-06-24,884227,318322,896700
North America,Trading and Sales,LE_06_199,In Progress,"Execution, Delivery and Process Management",Reporting and Disclosure,2008-06-23,2008-06-25,757787,189447,765200
North America,Retail Banking,LE_06_200,Under Review,External Fraud,Theft and Fraud,2008-07-01,2008-07-03,166892,61750,173200
EMEA,Agency Services,LE_06_201,Approved,"Execution, Delivery and Process Management",Vendors and Suppliers,2008-07-02,2008-07-03,563875,197356,567000
North America,Agency Services,LE_06_202,Not Started,"Execution, Delivery and Process Management",Customer/Client Account Management,2008-07-03,2008-07-06,376994,124408,372300
Asia Pac,Retail Brokerage,LE_06_203,In Progress,"Clients, Products and Business Practices",Product Flaws,2008-07-05,2008-07-08,171830,44676,186200
EMEA,Retail Banking,LE_06_204,Under Review,"Execution, Delivery and Process Management",Transaction/Data Management,2008-07-10,2008-07-13,8515,2469,23400
EMEA,Retail Banking,LE_06_205,Approved,External Fraud,Theft and Fraud,2008-07-14,2008-07-16,262084,55038,256100
EMEA,Retail Banking,LE_06_206,Not Started,"Execution, Delivery and Process Management",Customer Intake and Documentation,2008-07-19,2008-07-22,24244,7273,25000
North America,Retail Banking,LE_06_207,Not Started,External Fraud,Theft and Fraud,2008-07-19,2008-07-20,267793,83016,268400
